sampel_id,fold,pred_prob
SRR7534095,fold_1,0.4973539183010139
SRR7534096,fold_1,0.5078849541871188
SRR7534097,fold_1,0.44113414065769085
SRR7534105,fold_1,0.4974067732967517
SRR7534107,fold_1,0.49262269233230893
SRR7534119,fold_1,0.509857174848367
SRR7534121,fold_1,0.4975536387033947
SRR7534131,fold_1,0.5101192976987846
SRR7534139,fold_1,0.5107646905230346
SRR7534147,fold_1,0.49677796557610127
SRR7534163,fold_1,0.46539063848241424
SRR7534166,fold_1,0.4462227126912425
SRR7534171,fold_1,0.5015961765441406
SRR7534189,fold_1,0.5519941747990876
SRR7534210,fold_1,0.6067993371793703
SRR7534215,fold_1,0.5806676198428711
SRR7534221,fold_1,0.4781965528500058
SRR7534222,fold_1,0.49603334302453606
SRR7534226,fold_1,0.4936575819347457
ERR1994996,fold_2,0.4777214264602543
ERR1995001,fold_2,0.478705193380636
ERR1995005,fold_2,0.4880075109615936
ERR1995008,fold_2,0.47970832164042837
ERR1995016,fold_2,0.4822077682761359
ERR1995023,fold_2,0.4822077682761359
ERR1995050,fold_2,0.47938017652089676
ERR1995051,fold_2,0.4822077682761359
ERR1995062,fold_2,0.4791696529273897
ERR1995063,fold_2,0.46948913174531814
ERR1995071,fold_2,0.46146901555272324
ERR2014747,fold_2,0.5097817197621131
ERR2014748,fold_2,0.48726586719612053
ERR2014752,fold_2,0.48630320851315534
ERR2014753,fold_2,0.4891973214927201
ERR2596974,fold_2,0.6091839683616203
ERR2596979,fold_2,0.6397914376652685
ERR2596983,fold_2,0.562695730663446
ERR2596984,fold_2,0.5545015363490936
ERR2596992,fold_2,0.4848983203502738
ERR2596993,fold_2,0.5210172485010119
ERR2596999,fold_2,0.5189000954400149
ERR2597000,fold_2,0.5148533162444899
ERR2597002,fold_2,0.46721754574903174
ERR2597020,fold_2,0.551859923000816
ERR2597024,fold_2,0.535466348916002
ERR2597026,fold_2,0.6122034382880696
ERR2597041,fold_2,0.5252183732396385
ERR2597063,fold_2,0.5247603021953625
ERR2597064,fold_2,0.5881902512803001
ERR2597065,fold_2,0.630434864096455
ERR2597074,fold_2,0.5451134135971749
ERR2597075,fold_2,0.5938918795434649
ERR2597078,fold_2,0.5363127277391186
ERR2597079,fold_2,0.6025714684919946
